Bmax,lambda0_m,bias_opt,bias_ir,bias_cmb,cmb_minus_opt
0.05,1e-07,0.04999999999999663,0.05,0.05,3.372302437298913e-15
0.05,1.059560179277617e-07,0.04999999999988813,0.05,0.05,1.1187578641269624e-13
0.05,1.1226677735108136e-07,0.04999999999752547,0.05,0.05,2.474534466223588e-12
0.05,1.1895340673703207e-07,0.04999999996171538,0.05,0.05,3.8284625469842126e-11
0.05,1.2603829296797274e-07,0.04999999956823161,0.05,0.05,4.317683918730886e-10
0.05,1.3354515629299e-07,0.04999999631852433,0.05,0.05,3.6814756729230957e-09
0.05,1.4149912974345758e-07,0.049999975489233704,0.05,0.05,2.451076629855775e-08
0.05,1.499268432786047e-07,0.04999986888368304,0.05,0.05,1.3111631696344217e-07
0.05,1.5885651294280528e-07,0.049999422048878694,0.05,0.05,5.779511213083177e-07
0.05,1.6831803533309585e-07,0.049997853339203265,0.05,0.05,2.1466607967382534e-06
0.05,1.7834308769319093e-07,0.04999314737328061,0.05,0.05,6.8526267193932955e-06
0.05,1.8896523396912115e-07,0.04998086780949503,0.05,0.05,1.9132190504971003e-05
0.05,2.0022003718155845e-07,0.04995255368049291,0.05,0.05,4.744631950709399e-05
0.05,2.121451784910632e-07,0.049894047410068865,0.05,0.05,0.0001059525899311381
0.05,2.2478058335487253e-07,0.049784351176636314,0.05,0.05,0.00021564882336368857
0.05,2.3816855519761606e-07,0.04959564973686342,0.05,0.05,0.00040435026313657974
0.05,2.523539170434766e-07,0.04929489212937482,0.05,0.05,0.0007051078706251795
0.05,2.673841615839949e-07,0.04884687066855358,0.05,0.05,0.0011531293314464217
0.05,2.833096101839324e-07,0.048218266802661884,0.05,0.05,0.0017817331973381187
0.05,3.0018358135755923e-07,0.047381842930053646,0.04999999999999996,0.05,0.002618157069946357
0.05,3.180625692794119e-07,0.046319941292015526,0.04999999999999772,0.05,0.0036800587079844765
0.05,3.370064329271932e-07,0.04502667470074131,0.049999999999920976,0.05,0.004973325299258695
0.05,3.5707859649004626e-07,0.04350854513559865,0.04999999999818047,0.05,0.00649145486440135
0.05,3.783462617131933e-07,0.04178357553305506,0.049999999970832286,0.05,0.008216424466944941
0.05,4.008806328898465e-07,0.03987929430785273,0.049999999660559714,0.05,0.01012070569214727
0.05,4.247571552536903e-07,0.03783003426876316,0.04999999702425883,0.05,0.01216996573123684
0.05,4.500557675700497e-07,0.03567400863198072,0.04999997969520279,0.05,0.014325991368019285
0.05,4.768611697714474e-07,0.03345054471623016,0.04999988899676951,0.05,0.016549455283769846
0.05,5.052631065335679e-07,0.03119773460437593,0.04999950120992965,0.05,0.018802265395624074
0.05,5.35356667741073e-07,0.02895063784225485,0.049998115594503,0.05,0.021049362157745152
0.05,5.672426068491978e-07,0.026740067069809154,0.0499938933937251,0.05,0.02325993293019085
0.05,6.010276782070388e-07,0.02459191336146135,0.04998272231748551,0.05,0.025408086638538652
0.05,6.368249944718587e-07,0.02252692446539596,0.04995664548433308,0.05,0.02747307553460404
0.05,6.7475440531107e-07,0.020560831047563257,0.04990217171175121,0.05,0.029439168952436746
0.05,7.149428986597577e-07,0.018704716309287894,0.04979904482973321,0.05,0.031295283690712106
0.05,7.57525025877192e-07,0.016965535906250547,0.04962011913484475,0.05,0.03303446409374945
0.05,8.026433522257174e-07,0.015346712167144744,0.049332771615484994,0.05,0.03465328783285526
0.05,8.504489341802686e-07,0.013848745050967122,0.04890184149071851,0.05,0.03615125494903288
0.05,9.011018251665019e-07,0.012469799499979235,0.04829361024151119,0.05,0.03753020050002077
0.05,9.547716114208066e-07,0.011206243485873124,0.04748001947532499,0.05,0.03879375651412688
0.05,1.011637979766207e-06,0.010053122629332306,0.046442276840164026,0.05,0.0399468773706677
0.05,1.0718913192051285e-06,0.009004565866807845,0.045173202944900195,0.05,0.040995434133192156
0.05,1.1357333583431052e-06,0.008054122608237074,0.04367801646705027,0.05,0.04194587739176293
0.05,1.2033778407775905e-06,0.0071950356619269965,0.04197360941181662,0.05,0.04280496433807301
0.05,1.2750512407130129e-06,0.006420456395616731,0.04008663139477433,0.05,0.04357954360438327
0.05,1.3509935211980278e-06,0.00572360960478332,0.038050837971354605,0.05,0.044276390395216685
0.05,1.4314589375234786e-06,0.005097915744447213,0.03590417028210548,0.05,0.04490208425555279
0.05,1.5167168884709241e-06,0.004537077842394227,0.033685957789007015,0.05,0.04546292215760578
0.05,1.6070528182616385e-06,0.004035139768747526,0.031434516782727094,0.05,0.04596486023125248
0.05,1.7027691722259014e-06,0.0035865217449707666,0.029185292111565522,0.05,0.046413478255029235
0.05,1.8041864093920718e-06,0.0031860381401284388,0.02696958263137371,0.05,0.046813961859871564
0.05,1.9116440753857036e-06,0.0028289017907811745,0.02481381344895497,0.05,0.04717109820921883
0.05,2.0255019392306664e-06,0.002510718332611345,0.02273927141162422,0.05,0.04748928166738866
0.05,2.146141197858406e-06,0.002227473366633831,0.02076219985642243,0.05,0.047772526633366175
0.05,2.2739657523579273e-06,0.001975514707513082,0.01889414731556214,0.05,0.04802448529248692
0.05,2.409403560239527e-06,0.0017515314747024392,0.017142475546724722,0.05,0.048248468525297565
0.05,2.5529080682395166e-06,0.0015525313826449062,0.015510948972150341,0.05,0.0484474686173551
0.05,2.704959730463137e-06,0.0013758172554420968,0.01400034605374681,0.05,0.0486241827445579
0.05,2.8660676169482502e-06,0.0012189635246020237,0.012609050559931207,0.05,0.04878103647539798
0.05,3.0367711180354605e-06,0.0010797932561493696,0.01133359562578374,0.05,0.048920206743850635
0.05,3.2176417502507353e-06,0.0009563560865755495,0.010169145415654418,0.05,0.04904364391342445
0.05,3.4092850697468146e-06,0.0008469073177773678,0.009109908091023067,0.05,0.049153092682222635
0.05,3.6123426997094304e-06,0.0007498883222666398,0.00814948000988116,0.05,0.04925011167773336
0.05,3.827494478516315e-06,0.0006639083355384046,0.007281125116941511,0.05,0.049336091664461595
0.05,4.0554607358408275e-06,0.0005877276575395552,0.006497995826650682,0.05,0.04941227234246045
0.05,4.297004704320844e-06,0.0005202422455279799,0.005793302809058782,0.05,0.049479757754472026
0.05,4.5529350748669476e-06,0.00046046965286269395,0.005160441344388128,0.05,0.04953953034713731
0.05,4.824108704165373e-06,0.00040753624967506123,0.004593081617269812,0.05,0.049592463750324944
0.05,5.111433483440165e-06,0.0003606656497453398,0.004085229702307025,0.05,0.049639334350254666
0.05,5.4158713780794765e-06,0.00031916826150608094,0.003631265210677132,0.05,0.04968083173849392
0.05,5.738441648302393e-06,0.0002824318785446756,0.0032259607330583696,0.05,0.04971756812145533
0.05,6.080224261649427e-06,0.0002499132252130998,0.0028644873979641553,0.05,0.0497500867747869
0.05,6.44236350872137e-06,0.00022113037514882584,0.0025424101084442876,0.05,0.049778869624851174
0.05,6.826071834272393e-06,0.00019565596403389176,0.0022556753456511205,0.05,0.04980434403596611
0.05,7.232633896483534e-06,0.00017311112229149162,0.002000593842952603,0.05,0.04982688887770851
0.05,7.663410868007463e-06,0.00015316005828200363,0.0017738199384057963,0.05,0.049846839941718
0.05,8.119844993184008e-06,0.00013550522764929073,0.0015723290006663172,0.05,0.04986449477235071
0.05,8.603464416684509e-06,0.00011988302959223263,0.0013933939852908252,0.05,0.04988011697040777
0.05,9.115888299750819e-06,0.00010605997586032313,0.0012345619053281299,0.05,0.04989394002413968
0.05,9.658832241158709e-06,9.382928310357475e-05,0.0010936307824838676,0.05,0.04990617071689643
0.05,1.0234114021054528e-05,8.300784378619253e-05,0.000968627473954109,0.05,0.04991699215621381
0.05,1.0843659686896109e-05,7.343353516403583e-05,0.000857786637108493,0.05,0.04992656646483597
0.05,1.148951000187311e-05,6.496282981053315e-05,0.0007595309924380068,0.05,0.04993503717018947
0.05,1.217382727739662e-05,5.7468674848942806e-05,0.0006724529684713821,0.05,0.04994253132515106
0.05,1.289890261253308e-05,5.083861041461635e-05,0.0005952977555855499,0.05,0.049949161389585384
0.05,1.3667163564620073e-05,4.497310094023766e-05,0.0005269477545507107,0.05,0.049955026899059764
0.05,1.448118227674536e-05,3.978405564366017e-05,0.00046640837679017835,0.05,0.049960215944356345
0.05,1.5343684089300132e-05,3.5193517119747054e-05,0.0004127951338955216,0.05,0.04996480648288026
0.05,1.6257556664437934e-05,3.113249921228856e-05,0.00036532194166943865,0.05,0.04996886750078772
0.05,1.7225859653987876e-05,2.7539957389283166e-05,0.0003232905570879019,0.05,0.04997246004261072
0.05,1.8251834943190462e-05,2.436187668268808e-05,0.0002860810636743538,0.05,0.04997563812331732
0.05,1.933891750455232e-05,2.155046390102111e-05,0.0002531433207646594,0.05,0.04997844953609898
0.05,2.049074689815846e-05,1.9063432296884122e-05,0.00022398929416425075,0.05,0.04998093656770312
0.05,2.171117945694505e-05,1.686336818833567e-05,0.00019818618910780184,0.05,0.04998313663181167
0.05,2.3004301197729215e-05,1.4917170208017527e-05,0.0001753503107332022,0.05,0.049985082829791985
0.05,2.4374441501222216e-05,1.3195552901379416e-05,0.00015514158210693798,0.05,0.049986804447098625
0.05,2.5826187606826748e-05,1.1672607328339081e-05,0.0001372586549130528,0.05,0.049988327392671665
0.05,2.736439997074672e-05,1.0325412152645265e-05,0.00012143455304550744,0.05,0.04998967458784736
0.05,2.8994228538828813e-05,9.133689441465087e-06,0.00010743279438316656,0.05,0.04999086631055854
0.05,3.072112998861759e-05,8.079500053714828e-06,9.504394088161172e-05,0.05,0.04999192049994629
0.05,3.2550885998350565e-05,7.146974078231506e-06,8.408253172354497e-05,0.05,0.04999285302592177
0.05,3.44896226040576e-05,6.322072300085635e-06,7.438435859167259e-05,0.05,0.04999367792769992
0.05,3.654383070957262e-05,5.592375132473793e-06,6.580404614516811e-05,0.05,0.04999440762486753
0.05,3.872038781812557e-05,4.946895858515266e-06,5.8212904486432127e-05,0.05,0.049995053104141485
0.05,4.10265810582719e-05,4.375915388565855e-06,5.1497023802821176e-05,0.05,0.04999562408461144
0.05,4.3470131581250265e-05,3.870836058517124e-06,4.5555584467599223e-05,0.05,0.049996129163941486
0.05,4.605922041145113e-05,3.4240522783612895e-06,4.029935869999668e-05,0.05,0.04999657594772164
0.05,4.8802515836544335e-05,3.0288360915231575e-06,3.564938243298954e-05,0.05,0.04999697116390848
0.05,5.170920242896755e-05,2.679235928182422e-06,3.1535778337177244e-05,0.05,0.04999732076407182
0.05,5.478901179593945e-05,2.369987033018495e-06,2.7896713019198716e-05,0.05,0.04999763001296698
0.05,5.805225516094908e-05,2.0964322225480724e-06,2.467747327226655e-05,0.05,0.04999790356777745
0.05,6.150985788580505e-05,1.8544517816798669e-06,2.18296479226332e-05,0.05,0.049998145548218326
0.05,6.51733960488242e-05,1.6404014463289319e-06,1.9310403307065685e-05,0.05,0.04999835959855367
0.05,6.90551352016233e-05,1.4510575399362403e-06,1.708184174893934e-05,0.05,0.049998548942460065
0.05,7.316807143427207e-05,1.283568439131022e-06,1.5110433589687889e-05,0.05,0.04999871643156087
0.05,7.752597488629464e-05,1.135411638797379e-06,1.3366514392737505e-05,0.05,0.049998864588361204
0.05,8.214343584919422e-05,1.0043557707950513e-06,1.1823839881164311e-05,0.05,0.04999899564422921
0.05,8.703591361485166e-05,8.884270050302235e-07,1.0459192010914277e-05,0.05,0.04999911157299497
0.05,9.22197882333434e-05,7.858793274251319e-07,9.252030328466e-06,0.05,0.049999214120672576
0.05,9.771241535346502e-05,6.951682475553334e-07,8.184183426318547e-06,0.05,0.049999304831752446
0.05,0.00010353218432956627,6.149275403322108e-07,7.239575899381512e-06,0.05,0.04999938507245967
0.05,0.00010969857978923841,5.439486716496412e-07,6.403986729142109e-06,0.05,0.049999456051328356
0.05,0.0001162322468679853,4.811625984313395e-07,5.664835487373399e-06,0.05,0.04999951883740157
0.05,0.00012315506032928262,4.2562366894816073e-07,5.0109931633401945e-06,0.05,0.049999574376331055
0.05,0.0001304901978014403,3.7649538128792237e-07,4.432614784105616e-06,0.05,0.049999623504618715
0.05,0.00013826221737646565,3.330377853327793e-07,3.920991321648693e-06,0.05,0.04999966696221467
0.05,0.00014649713983072864,2.945963387790407e-07,3.4684186678679565e-06,0.05,0.04999970540366122
0.05,0.0001552225357427048,2.6059204929484995e-07,3.0680817130479543e-06,0.05,0.04999973940795071
0.05,0.00016446761779946643,2.305127544066643e-07,2.7139517888019604e-06,0.05,0.0499997694872456
0.05,0.00017426333860096508,2.0390540786952018e-07,2.4006959364053504e-06,0.05,0.04999979609459213
0.05,0.00018464249428955444,1.80369256308488e-07,2.1235966382537886e-06,0.05,0.049999819630743694
0.05,0.0001956398343517065,1.5954980339683011e-07,1.8784808068217362e-06,0.05,0.049999840450196606
0.05,0.0002072921779595372,1.4113347071020855e-07,1.6616569642413649e-06,0.05,0.049999858866529294
0.05,0.0002196385372416547,1.2484287481018264e-07,1.4698596683793142e-06,0.05,0.049999875157125194
0.05,0.00023272024789604097,1.1043264945831411e-07,1.3002003499573702e-06,0.05,0.04999988956735055
0.05,0.0002465811075822604,9.76857500445405e-08,1.1501238215638755e-06,0.05,0.04999990231424996
0.05,0.0002612675225563329,8.641018455768368e-08,1.0173698044513292e-06,0.05,0.049999913589815446
0.05,0.00027682866303920667,7.643612190411098e-08,8.999388943997656e-07,0.05,0.0499999235638781
0.05,0.00029331662783900454,6.761333393723313e-08,7.960624547054262e-07,0.05,0.049999932386666064
0.05,0.0003107866187782014,5.980893281742894e-08,7.041759832293604e-07,0.05,0.04999994019106718
0.05,0.00032929712550971513,5.290536946311875e-08,6.228955527654013e-07,0.05,0.04999994709463054
0.05,0.0003489101213406774,4.679866307255587e-08,5.509969702111039e-07,0.05,0.04999995320133693
0.05,0.0003696912707195028,4.1396834993268074e-08,4.873973407537591e-07,0.04999999999999999,0.049999958603164994
0.05,0.00039171014908092607,3.661852335246074e-08,4.311387596989125e-07,0.04999999999999915,0.0499999633814758
0.05,0.0004150404757850477,3.2391757620597875e-08,3.813738863600591e-07,0.049999999999966904,0.04999996760820928
0.05,0.00043976036093027214,2.8652874572987486e-08,3.3735318286653995e-07,0.04999999999915736,0.049999971346282784
0.05,0.0004659525668664682,2.5345559423461952e-08,2.9841362578775234e-07,0.04999999998523693,0.04999997463967751
0.05,0.0004937047852839004,2.241999763064051e-08,2.6396872053746635e-07,0.049999999814145796,0.049999977394148166
0.05,0.0005231099308056264,1.983212458145367e-08,2.334996683561741e-07,0.049999998253378426,0.049999978421253845
0.05,0.0005542664520663107,1.7542961905370192e-08,2.0654755265026028e-07,0.04999998732605809,0.04999996978309619
0.05,0.0005872786613189483,1.551803036625721e-08,1.8270642729301123e-07,0.04999992683976726,0.049999911321736895
0.05,0.0006222570836730231,1.3726830577764915e-08,1.6161720255980506e-07,0.04999965504969094,0.04999964132286037
0.05,0.0006593188271333549,1.2142383593038986e-08,1.4296223682097598e-07,0.04999864012171448,0.04999862797933089
0.05,0.0006985879746785249,1.074082456864467e-08,1.264605524242679e-07,0.049995424077699586,0.049995413336875016
0.05,0.0007401959996915645,9.501043291004764e-09,1.1186360378001581e-07,0.04998661465180114,0.04998660515075785
0.05,0.0007842822061337681,8.404366247383167e-09,9.895153389449796e-08,0.04996540811094259,0.04996539970657635
0.05,0.0008309941949353395,7.434275350881592e-09,8.752986300208932e-08,0.04991988327726143,0.04991987584298608
0.05,0.0008804883581643465,6.5761591450108625e-09,7.74265593972423e-08,0.049831589101427855,0.04983158252526871
0.05,0.0009329304026284687,5.817092718629624e-09,6.848944834048077e-08,0.049675081061252936,0.04967507524416022
0.05,0.0009884959046625587,5.1456430671947835e-09,6.05839200640279e-08,0.04941891932934658,0.04941891418370352
0.05,0.0010473708979594509,4.551696836108121e-09,5.3590902332478764e-08,0.0490282445965877,0.04902824004489086
0.05,0.0011097524964120721,4.026308048077354e-09,4.7405066999628435e-08,0.048468558982271,0.04846855495596295
0.05,0.0011758495540521582,3.5615633164898245e-09,4.1933243577485514e-08,0.047709966952925925,0.04770996339136261
0.05,0.0012458833642950082,3.1504626796241554e-09,3.7093015942124553e-08,0.04673101192563625,0.04673100877517357
0.05,0.0013200884008314193,2.786814168320717e-09,3.281148097666886e-08,0.045521390624613446,0.04552138783779928
0.05,0.0013987131026472386,2.4651405139408667e-09,2.9024150538514706e-08,0.04408314789044124,0.04408314542530072
0.05,0.00148202070579886,2.18059669210291e-09,2.567398013075817e-08,0.042430318082340525,0.042430315901743836
0.05,0.0015702901247293774,1.928896914416001e-09,2.2710509733903097e-08,0.04058727510668956,0.04058727317779264
0.05,0.0016638168860761307,1.706250091215722e-09,2.0089103752729545e-08,0.038586223900300594,0.0385862221940505
0.05,0.001762914118095948,1.5093027272428117e-09,1.777027874294568e-08,0.03646430760435886,0.03646430609505614
0.05,0.0018679135990207847,1.335088412046659e-09,1.571910870912241e-08,0.03426074750448057,0.034260746169392155
0.05,0.0019791668678535573,1.180983133508562e-09,1.3904699053268743e-08,0.03201432090629469,0.03201431972531156
0.05,0.002097046401323235,1.0446657705553974e-09,1.2299721247055474e-08,0.029761355569509457,0.029761354524843686
0.05,0.002221946860939524,9.240831100321145e-10,1.0880001205526568e-08,0.02753430611387911,0.027534305189796
0.05,0.0023542864143224203,8.174189491949591e-10,9.624155183907136e-09,0.02536089234511503,0.02536089152769608
0.05,0.0024945081352303164,7.230667176116867e-10,8.513267707455085e-09,0.023263725184710635,0.023263724461643917
0.05,0.0026430814869741084,6.396052798507412e-10,7.5306066438241e-09,0.021260319346667517,0.02126031870706224
0.05,0.002800503894183631,5.657775470346849e-10,6.661371199090383e-09,0.01936338638035407,0.019363385814576525
0.05,0.0029673024081888727,5.004715308842833e-10,5.892469007173773e-09,0.01758130991757323,0.017581309417101697
0.05,0.0031440354715915,4.427035904530641e-10,5.2123188931663124e-09,0.01591872060310845,0.01591872016040486
0.05,0.003331294787934677,3.9160363285439816e-10,4.610676468397302e-09,0.014377106507897586,0.014377106116293953
0.05,0.00352970730273065,3.4640199042534903e-10,4.078479837188454e-09,0.012955412698176362,0.012955412351774371
0.05,0.0037399373024788016,3.0641784110052587e-10,3.6077130727285578e-09,0.011650599301175263,0.011650598994757422
0.05,0.003962688638701479,2.7104894440022066e-10,3.191285508075126e-09,0.010458140112122783,0.010458139841073839
0.05,0.004198707084443914,2.3976257090829733e-10,2.8229249382505375e-09,0.009372453431766698,0.009372453192004127
0.05,0.004448782831127585,2.1208749201306887e-10,2.4970831236093005e-09,0.008387263690523927,0.008387263478436435
0.05,0.004713753134116729,1.876068633777095e-10,2.2088522622087935e-09,0.00749589696298556,0.007495896775378697
0.05,0.00499450511585514,1.6595196328239582e-10,1.9538910267513644e-09,0.006691516207605802,0.006691516041653839
0.05,0.005291978735958447,1.4679661930472322e-10,1.7283592113059854e-09,0.005967303452095596,0.005967303305298977
0.05,0.005607169938205458,1.2985232333839747e-10,1.5288598553819812e-09,0.005316596587879658,0.005316596458027335
0.05,0.00594113398496504,1.1486385731451776e-10,1.3523881181587427e-09,0.004732988259179999,0.004732988144316142
0.05,0.006294988990221888,1.0160546293214168e-10,1.1962859869374398e-09,0.004210393778559462,0.004210393676954
0.05,0.006669919663030129,8.987744992694503e-11,1.0582022591520967e-09,0.003743094248250545,0.0037430941583730948
0.05,0.0070671812739274914,7.950315961124944e-11,9.360571262551077e-10,0.0033257602375278694,0.0033257601580247097
0.05,0.0074881038575900305,7.032635029879942e-11,8.280108376723661e-10,0.002953460540510783,0.002953460470184433
0.05,0.007934096665797492,6.220878812079889e-11,7.324360173921463e-10,0.0026216597644769138,0.0026216597022681257
