short,base_name,target_name,obs_id,proposal_id,filters,instrument,t_exptime,dataURL
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_skycell-p1359x03y20_acs_wfc_f814w_all,--,F814W,ACS/WFC,2644.0,mast:HST/product/hst_skycell-p1359x03y20_acs_wfc_f814w_all_drc.fits
J0959,SDSS-J095944.07+041017.0,SDSS-J095944.07+041017.0,hst_skycell-p1359x03y20_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_skycell-p1359x03y20_wfc3_uvis_f390w_all_drc.fits
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_skycell-p1449x10y03_acs_wfc_f435w_all,--,F435W,ACS/WFC,420.0,mast:HST/product/hst_skycell-p1449x10y03_acs_wfc_f435w_all_drc.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_skycell-p1449x10y03_acs_wfc_f555w_all,--,F555W,ACS/WFC,2160.0,mast:HST/product/hst_skycell-p1449x10y03_acs_wfc_f555w_all_drc.fits
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_skycell-p1449x10y03_acs_wfc_f814w_all,--,F814W,ACS/WFC,2644.0,mast:HST/product/hst_skycell-p1449x10y03_acs_wfc_f814w_all_drc.fits
J0959,SDSS-J095944.07+041017.0,SDSS-J095944.07+041017.0,hst_skycell-p1449x10y03_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_skycell-p1449x10y03_wfc3_uvis_f390w_all_drc.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,j9c704010,10494,F555W,ACS/WFC,2160.0,mast:HST/product/j9c704010_drz.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,j9c704020,10494,F814W,ACS/WFC,2224.0,mast:HST/product/j9c704020_drz.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,n9c7a4010,10494,F160W,NICMOS/NIC2,2559.950989,mast:HST/product/n9c7a4010_mos.fits
J0959,SDSS-J095944.07+041017.0,mv-269,hlsp_skysurf_hst_acs-wfc_mv-269_f435w,10174,CLEAR1L;F435W,ACS/WFC,420.0,mast:HLSP/skysurf/drizzled_images/multi-visit/sci/hlsp_skysurf_hst_acs-wfc_mv-269_f435w_v1_drz-sci.fits.gz
J0959,SDSS-J095944.07+041017.0,mv-42,hlsp_skysurf_hst_acs-wfc_mv-42_f555w,10494,CLEAR2L;F555W,ACS/WFC,2160.0,mast:HLSP/skysurf/drizzled_images/multi-visit/sci/hlsp_skysurf_hst_acs-wfc_mv-42_f555w_v1_drz-sci.fits.gz
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_10174_18_acs_wfc_f435w,10174,F435W,ACS/WFC,420.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10174_18_acs_wfc_f435w_drz.fits
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_10174_18_acs_wfc_f814w,10174,F814W,ACS/WFC,420.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10174_18_acs_wfc_f814w_drz.fits
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_10174_18_acs_wfc_f814w_f435w,10174,F814W;F435W,ACS/WFC,840.0,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10174_18_acs_wfc_f814w&amp;blue=hst_10174_18_acs_wfc_f435w&amp;size=ALL&amp;format=fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_10494_04_acs_wfc_f555w,10494,F555W,ACS/WFC,2160.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10494_04_acs_wfc_f555w_drz.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_10494_04_acs_wfc_f814w,10494,F814W,ACS/WFC,2224.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10494_04_acs_wfc_f814w_drz.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_10494_04_acs_wfc_f814w_f555w,10494,F814W;F555W,ACS/WFC,4384.0,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10494_04_acs_wfc_f814w&amp;blue=hst_10494_04_acs_wfc_f555w&amp;size=ALL&amp;format=fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,HST_10494_a4_NIC_NIC2_F160W,10494,F160W,NICMOS/NIC2,2559.76,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_10494_a4_NIC_NIC2_F160W_drz.fits
J0959,SDSS-J095944.07+041017.0,SDSS-J095944.07+041017.0,hst_12898_18_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2276.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_18_wfc3_uvis_f390w_drz.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_mos_0023582_acs_wfc_f555w,10494,F555W,ACS/WFC,2160.0,--
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_mos_0023582_acs_wfc_f814w,10494,F814W,ACS/WFC,2224.0,--
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_mos_0023582_acs_wfc_f814w_f555w,10494,F814W;F555W,ACS/WFC,4384.0,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_mos_0023582_acs_wfc_f814w&amp;blue=hst_mos_0023582_acs_wfc_f555w&amp;size=ALL&amp;format=fits
J0959,SDSS-J095944.07+041017.0,SDSS-J095944.07+041017.0,hst_mos_0023582_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2276.0,--
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_10886_36_acs_wfc_f814w_j9op36,10886,F814W,ACS/WFC,2128.0,mast:HST/product/hst_10886_36_acs_wfc_f814w_j9op36_drc.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_11202_45_wfpc2_pc_f606w_ua1l45,11202,F606W,WFPC2/PC,4400.0,mast:HST/product/hst_11202_45_wfpc2_pc_f606w_ua1l45_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_11202_99_wfc3_ir_f160w_ia1l99,11202,F160W,WFC3/IR,2396.926268,mast:HST/product/hst_11202_99_wfc3_ir_f160w_ia1l99_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_12898_19_wfc3_uvis_f390w_ibzi19,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_19_wfc3_uvis_f390w_ibzi19_drc.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_12898_20_wfc3_uvis_f390w_ibzi20,12898,F390W,WFC3/UVIS,2272.0,mast:HST/product/hst_12898_20_wfc3_uvis_f390w_ibzi20_drc.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_skycell-p2198x10y07_acs_wfc_f814w_all,--,F814W,ACS/WFC,1596.0,mast:HST/product/hst_skycell-p2198x10y07_acs_wfc_f814w_all_drc.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_skycell-p2198x10y07_wfc3_ir_f160w_all,--,F160W,WFC3/IR,2396.926268,mast:HST/product/hst_skycell-p2198x10y07_wfc3_ir_f160w_all_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_skycell-p2198x10y07_wfc3_ir_f160w_coarse-all,--,F160W,WFC3/IR,2396.926268,mast:HST/product/hst_skycell-p2198x10y07_wfc3_ir_f160w_coarse-all_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_skycell-p2198x10y07_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4544.0,mast:HST/product/hst_skycell-p2198x10y07_wfc3_uvis_f390w_all_drc.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,ia1l99010,11202,F160W,WFC3/IR,2400.0,mast:HST/product/ia1l99010_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,j9op36010,10886,F814W,ACS/WFC,2128.0,mast:HST/product/j9op36010_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_10886_36_acs_wfc_f814w,10886,F814W,ACS/WFC,2128.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10886_36_acs_wfc_f814w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_11202_45_wfpc2_f606w_wf,11202,F606W,WFPC2/WFC,4400.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_45_wfpc2_f606w_wf_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_11202_99_wfc3_ir_f160w,11202,F160W,WFC3/IR,2396.928,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_99_wfc3_ir_f160w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_12898_19_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_19_wfc3_uvis_f390w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_12898_20_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_20_wfc3_uvis_f390w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_mos_0034663_acs_wfc_f814w,10886,F814W,ACS/WFC,2128.0,--
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_mos_0034663_wfc3_ir_f160w,11202,F160W,WFC3/IR,2396.928,--
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_mos_0034663_wfc3_ir_f160w_uvis_f390w,0,F160W;F390W,WFC3/IR,6940.92822265625,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_mos_0034663_wfc3_ir_f160w&amp;blue=hst_mos_0034663_wfc3_uvis_f390w&amp;size=ALL&amp;format=fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_mos_0034663_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,4544.0,--
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_10886_49_acs_wfc_f814w_j9op49,10886,F814W,ACS/WFC,2088.0,mast:HST/product/hst_10886_49_acs_wfc_f814w_j9op49_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_11202_52_wfpc2_pc_f606w_ua1l52,11202,F606W,WFPC2/PC,4400.0,mast:HST/product/hst_11202_52_wfpc2_pc_f606w_ua1l52_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_29_wfc3_uvis_f390w_ibzi29,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_29_wfc3_uvis_f390w_ibzi29_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_30_wfc3_uvis_f390w_ibzi30,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_30_wfc3_uvis_f390w_ibzi30_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_skycell-p1321x14y19_acs_wfc_f814w_all,--,F814W,ACS/WFC,2088.0,mast:HST/product/hst_skycell-p1321x14y19_acs_wfc_f814w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_skycell-p1321x14y19_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1321x14y19_wfc3_uvis_f390w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_skycell-p1411x14y03_acs_wfc_f814w_all,--,F814W,ACS/WFC,2088.0,mast:HST/product/hst_skycell-p1411x14y03_acs_wfc_f814w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_skycell-p1411x14y03_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1411x14y03_wfc3_uvis_f390w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,j9op49010,10886,F814W,ACS/WFC,2088.0,mast:HST/product/j9op49010_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,na1l0g010,11202,F160W,NICMOS/NIC2,2559.976013,mast:HST/product/na1l0g010_mos.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_10886_49_acs_wfc_f814w,10886,F814W,ACS/WFC,2088.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10886_49_acs_wfc_f814w_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,HST_11202_0g_NIC_NIC2_F160W,11202,F160W,NICMOS/NIC2,2559.88,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_11202_0g_NIC_NIC2_F160W_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_11202_52_wfpc2_f606w_wf,11202,F606W,WFPC2/WFC,4400.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_52_wfpc2_f606w_wf_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_29_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2276.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_29_wfc3_uvis_f390w_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_30_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2276.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_30_wfc3_uvis_f390w_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_mos_0034699_acs_wfc_f814w,10886,F814W,ACS/WFC,2088.0,--
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_mos_0034699_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,4552.0,--
